project_id,year,revenue_vnd,opex_vnd,depreciation_vnd,taxable_income_vnd,tax_loss_opening_vnd,tax_loss_closing_vnd,tax_vnd,working_capital_vnd,delta_working_capital_vnd,capex_vnd,capex_net_vnd,vat_paid_vnd,construction_capex_vnd,idc_vnd,major_maintenance_vnd,terminal_value_vnd,terminal_release_vnd,terminal_branch,cfads_vnd,sources_vnd,uses_vnd,sources_uses_balance_vnd
VG-012,1,3494946599.9999995,431250000.0,1552608175.5050504,1511088424.494949,0.0,0.0,302217684.89898986,287255884.9315068,287255884.9315068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2474223030.169503,0.0,0.0,0.0
VG-012,2,3512246585.6699996,439875000.0,1552608175.5050504,1519763410.1649492,0.0,0.0,303952682.03298986,288677801.5619178,1421916.6304109693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2766996987.0065985,0.0,0.0,0.0
VG-012,3,3529632206.2690663,448672500.0,1552608175.5050504,1528351530.764016,0.0,0.0,305670306.1528032,290106756.6796493,1428955.1177315116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2773860444.998532,0.0,0.0,0.0
VG-012,4,3547103885.6900983,457645950.00000006,1552608175.5050504,1536849760.1850479,0.0,0.0,307369952.0370096,291542785.12521356,1436028.44556427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2780651955.2075243,0.0,0.0,0.0
VG-012,5,3564662049.924264,466798869.0,1552608175.5050504,1545255005.4192135,0.0,0.0,309051001.0838427,292985921.91158336,1443136.7863698006,0.0,0.0,0.0,0.0,0.0,116445613.16287878,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2670923429.8911724,0.0,0.0,0.0
VG-012,6,3582307127.071389,476134846.38,1552608175.5050504,1553564105.1863387,0.0,0.0,310712821.03726774,294436202.2250457,1450280.313462317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2794009179.340659,0.0,0.0,0.0
VG-012,7,3600039547.350393,485657543.3076,1552608175.5050504,1561773828.5377424,0.0,0.0,312354765.7075485,295893661.42605966,1457459.2010139823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2800569779.13423,0.0,0.0,0.0
VG-012,8,3617859743.109777,495370694.173752,1552608175.5050504,1569880873.4309747,0.0,0.0,313976174.68619496,297358335.0501186,1464673.6240589619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2807048200.6257715,0.0,0.0,0.0
VG-012,9,3635768148.8381705,505278108.0572271,1552608175.5050504,1577881865.275893,0.0,0.0,315576373.0551786,298830258.80861676,1471923.7584981322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2813441743.9672666,0.0,0.0,0.0
VG-012,10,3653765201.174919,515383670.2183716,1552608175.5050504,1585773355.4514973,0.0,0.0,317154671.0902995,300309468.58971936,1479209.7811025977,0.0,0.0,0.0,0.0,0.0,116445613.16287878,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2703302036.9222665,0.0,0.0,0.0
VG-012,11,3671851338.920735,525691343.6227391,1552608175.5050504,1593551819.7929451,0.0,0.0,318710363.958589,301796000.45923847,1486531.8695191145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2825963099.4698873,0.0,0.0,0.0
VG-012,12,3690027003.0483923,536205170.4951939,1552608175.5050504,1601213657.048148,0.0,0.0,320242731.4096296,303289890.6615117,1493890.2022732496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2832085210.9412956,0.0,0.0,0.0
VG-012,13,3708292636.713482,546929273.9050977,1552608175.5050504,1608755187.3033335,0.0,0.0,321751037.4606667,304791175.62028617,1501284.9587744474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2838111040.3889427,0.0,0.0,0.0
