project_id,year,cfads_vnd,debt_service_vnd,dsra_opening_vnd,dsra_funding_vnd,cash_trap_vnd,distribution_vnd,dsra_release_vnd,dsra_closing_vnd,terminal_value_vnd,terminal_branch,waterfall_status
VG-007,3,3270473957.525595,2515749198.0966115,1121836738.0725057,0.0,0.0,754724759.4289837,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,4,3278818604.7528467,2522168157.5021896,1121836738.0725057,0.0,0.0,756650447.2506571,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,5,3155448254.0263586,2427267887.7125835,1121836738.0725057,0.0,0.0,728180366.3137751,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,6,3295262576.808121,2534817366.775478,1121836738.0725057,0.0,0.0,760445210.0326433,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,7,3303356153.2264395,2541043194.789569,1121836738.0725057,0.0,0.0,762312958.4368706,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,8,3311360184.80254,2547200142.1558,1121836738.0725057,0.0,0.0,764160042.64674,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,9,3319271636.1285453,2553285873.945035,1121836738.0725057,0.0,0.0,765985762.1835103,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,10,3195453233.526573,1098848974.627163,1121836738.0725057,0.0,0.0,2096604258.8994102,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,11,3334804320.688453,0.0,1121836738.0725057,0.0,0.0,3334804320.688453,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,12,3342419143.265202,0.0,1121836738.0725057,0.0,0.0,3342419143.265202,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,13,3349928561.458742,0.0,1121836738.0725057,0.0,0.0,3349928561.458742,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,14,3357329191.562279,0.0,1121836738.0725057,0.0,0.0,3357329191.562279,0.0,1121836738.0725057,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-007,15,3727286364.0022163,0.0,1121836738.0725057,0.0,0.0,3727286364.0022163,1121836738.0725057,0.0,0.0,ZERO_RESIDUAL_NO_SALE,RELEASE
VG-008,1,2900701065.2898855,2231308511.7614503,0.0,1115654255.8807251,0.0,669392553.5284352,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,2,3244056656.281392,2495428197.139532,1115654255.8807251,0.0,0.0,748628459.14186,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,3,3252390275.6674857,2501838673.5903735,1115654255.8807251,0.0,0.0,750551602.0771122,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,4,3260645408.66954,2508188775.899646,1115654255.8807251,0.0,0.0,752456632.7698941,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,5,3137185100.6224384,2413219308.1711063,1115654255.8807251,0.0,0.0,723965792.4513321,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,6,3276909020.794852,2520699246.7652707,1115654255.8807251,0.0,0.0,756209774.0295811,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,7,3284911747.110904,2526855190.085311,1115654255.8807251,0.0,0.0,758056557.0255933,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,8,3292824478.876733,2532941906.828256,1115654255.8807251,0.0,0.0,759882572.0484767,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,9,3300644178.4584055,2538957060.352619,1115654255.8807251,0.0,0.0,761687118.1057863,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,10,3176733569.9409666,1092053904.9884949,1115654255.8807251,0.0,0.0,2084679664.9524717,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,11,3315991994.768099,0.0,1115654255.8807251,0.0,0.0,3315991994.768099,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,12,3323513696.331541,0.0,1115654255.8807251,0.0,0.0,3323513696.331541,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,13,3330929532.56276,0.0,1115654255.8807251,0.0,0.0,3330929532.56276,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,14,3338236117.4732604,0.0,1115654255.8807251,0.0,0.0,3338236117.4732604,0.0,1115654255.8807251,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-008,15,3706126453.882019,0.0,1115654255.8807251,0.0,0.0,3706126453.882019,1115654255.8807251,0.0,0.0,ZERO_RESIDUAL_NO_SALE,RELEASE
VG-009,1,2969869926.659748,2284515328.199806,0.0,1142257664.099903,0.0,685354598.4599419,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,2,3321488002.145172,2554990770.8809013,1142257664.099903,0.0,0.0,766497231.2642708,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,3,3330204906.6932917,2561696082.0717626,1142257664.099903,0.0,0.0,768508824.6215291,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,4,3338845222.118924,2568342478.5530186,1142257664.099903,0.0,0.0,770502743.5659056,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,5,3215772003.1483965,2473670771.6526127,1142257664.099903,0.0,0.0,742101231.4957838,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,6,3355884928.488314,2581449944.9910107,1142257664.099903,0.0,0.0,774434983.4973035,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,7,3364278585.5474486,2587906604.267268,1142257664.099903,0.0,0.0,776371981.2801805,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,8,3372584183.1635385,2594295525.510414,1142257664.099903,0.0,0.0,778288657.6531243,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,9,3380798693.281431,2600614379.447254,1142257664.099903,0.0,0.0,780184313.834177,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,10,3257284849.6123652,1121293295.5548944,1142257664.099903,0.0,0.0,2135991554.0574708,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,11,3396942003.273871,0.0,1142257664.099903,0.0,0.0,3396942003.273871,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,12,3404864407.3794174,0.0,1142257664.099903,0.0,0.0,3404864407.3794174,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,13,3412682929.6303225,0.0,1142257664.099903,0.0,0.0,3412682929.6303225,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,14,3420394193.856309,0.0,1142257664.099903,0.0,0.0,3420394193.856309,0.0,1142257664.099903,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-009,15,3797178188.338626,0.0,1142257664.099903,0.0,0.0,3797178188.338626,1142257664.099903,0.0,0.0,ZERO_RESIDUAL_NO_SALE,RELEASE
VG-010,1,2859968291.3720775,2199975608.7477517,0.0,1099987804.3738759,0.0,659992682.6243258,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,2,3198458197.0505,2460352459.269615,1099987804.3738759,0.0,0.0,738105737.7808847,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,3,3206566104.0634,2466589310.818,1099987804.3738759,0.0,0.0,739976793.2454,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,4,3214594407.4160137,2472764928.781549,1099987804.3738759,0.0,0.0,741829478.6344647,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,5,3090906146.9127073,2377620113.0097747,1099987804.3738759,0.0,0.0,713286033.9029326,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,6,3230400986.2642584,2484923835.587891,1099987804.3738759,0.0,0.0,745477150.6763673,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,7,3238173497.809384,2490902690.622603,1099987804.3738759,0.0,0.0,747270807.1867809,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,8,3245854875.24117,2496811442.4932075,1099987804.3738759,0.0,0.0,749043432.7479625,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,9,3253442075.284847,2502647750.219113,1099987804.3738759,0.0,0.0,750794325.0657339,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,10,3129297816.356698,1074835152.7660584,1099987804.3738759,0.0,0.0,2054462663.5906396,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,11,3268321434.203588,0.0,1099987804.3738759,0.0,0.0,3268321434.203588,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,12,3275607166.492236,0.0,1099987804.3738759,0.0,0.0,3275607166.492236,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,13,3282785865.40075,0.0,1099987804.3738759,0.0,0.0,3282785865.40075,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,14,3289854139.1588,0.0,1099987804.3738759,0.0,0.0,3289854139.1588,0.0,1099987804.3738759,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-010,15,3652507099.146461,0.0,1099987804.3738759,0.0,0.0,3652507099.146461,1099987804.3738759,0.0,0.0,ZERO_RESIDUAL_NO_SALE,RELEASE
VG-011,1,2669057123.4836035,2053120864.2181563,0.0,1026560432.109078,0.0,615936259.2654471,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,2,2984983824.7688203,2296141403.668323,1026560432.109078,0.0,0.0,688842421.1004972,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,3,2992629222.951426,2302022479.1934047,1026560432.109078,0.0,0.0,690606743.7580214,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,4,3000201938.6550355,2307847645.119258,1026560432.109078,0.0,0.0,692354293.5357776,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,5,2886190935.6482863,2220146873.575605,1026560432.109078,0.0,0.0,666044062.0726814,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,6,3015118984.402207,2319322295.694005,1026560432.109078,0.0,0.0,695796688.7082019,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-011,7,3022458001.8332605,2324967693.7178926,1026560432.109078,0.0,0.0,697490308.1153679,0.0,1026560432.109078,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
